"Issue Type","Resumen","Description","Epic Name","Epic Link","Assignee","Priority","Story Points","Labels","Status","Epic Status Proyecto","Acceptance Criteria","HU Codigo"
"Story","HU_007 - Asociar permisos","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Juan Manuel Rendon","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_007"
"Story","HU_008 - Eliminar permisos","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Pedro Alejandro Correa","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_008"
"Story","HU_009 - Listar permisos","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Jhonnier Hernandez","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_009"
"Story","HU_010 - Eliminar rol","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Configuracion - Gestion de Roles","Santiago Sanchez Jalvin","Medium","","configuracion,roles,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_010"
"Story","HU_011 - Registrar usuario (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Juan Manuel Rendon","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_011"
"Story","HU_012 - Actualizar usuario (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Pedro Alejandro Correa","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_012"
"Story","HU_013 - Cambiar estado usuario (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Jhonnier Hernandez","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_013"
"Story","HU_014 - Eliminar usuario (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Santiago Sanchez Jalvin","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_014"
"Story","HU_015 - Listar usuarios (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Juan Manuel Rendon","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_015"
"Story","HU_016 - Buscar usuarios (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Pedro Alejandro Correa","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_016"
"Story","HU_017 - Ver detalle usuario (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Jhonnier Hernandez","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_017"
"Story","HU_018 - Registrar usuario (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Santiago Sanchez Jalvin","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_018"
"Story","HU_019 - Actualizar usuario (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Juan Manuel Rendon","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_019"
"Story","HU_020 - Cambiar estado usuario (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Pedro Alejandro Correa","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_020"
"Story","HU_021 - Eliminar usuario (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Jhonnier Hernandez","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_021"
"Story","HU_022 - Listar usuarios (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Santiago Sanchez Jalvin","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_022"
"Story","HU_023 - Buscar usuarios (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Juan Manuel Rendon","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_023"
"Story","HU_024 - Ver detalle usuario (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Pedro Alejandro Correa","Medium","","usuarios,gestion,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_024"
"Story","HU_025 - Buscar usuarios (productor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Jhonnier Hernandez","Medium","","usuarios,gestion,scrum,hu","Por realizar","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_025"
"Story","HU_026 - Ver detalle usuario (productor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Santiago Sanchez Jalvin","Medium","","usuarios,gestion,scrum,hu","Por realizar","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_026"
"Story","HU_027 - Editar perfil (repartidor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Juan Manuel Rendon","Medium","","usuarios,gestion,scrum,hu","Por realizar","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_027"
"Story","HU_028 - Ver detalle (repartidor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Usuarios","Pedro Alejandro Correa","Medium","","usuarios,gestion,scrum,hu","Por realizar","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_028"
"Story","HU_029 - Iniciar sesion","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Acceso","Jhonnier Hernandez","Medium","","usuarios,acceso,auth,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_029"
"Story","HU_030 - Cerrar sesion","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Acceso","Santiago Sanchez Jalvin","Medium","","usuarios,acceso,auth,scrum,hu","Realizada","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_030"
"Story","HU_031 - Cambiar contrasena","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Acceso","Juan Manuel Rendon","Medium","","usuarios,acceso,auth,scrum,hu","Por realizar","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_031"
"Story","HU_032 - Restablecer contrasena","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Usuarios - Gestion de Acceso","Pedro Alejandro Correa","Medium","","usuarios,acceso,auth,scrum,hu","Por realizar","En proceso","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_032"
"Story","HU_033 - Registrar proveedor (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Jhonnier Hernandez","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_033"
"Story","HU_034 - Listar proveedores (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Santiago Sanchez Jalvin","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_034"
"Story","HU_035 - Buscar proveedor (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Juan Manuel Rendon","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_035"
"Story","HU_036 - Ver detalle proveedor (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Pedro Alejandro Correa","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_036"
"Story","HU_037 - Actualizar proveedor (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Jhonnier Hernandez","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_037"
"Story","HU_038 - Cambiar estado proveedor (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Santiago Sanchez Jalvin","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_038"
"Story","HU_039 - Eliminar proveedor (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Juan Manuel Rendon","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_039"
"Story","HU_040 - Registrar proveedor (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Pedro Alejandro Correa","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_040"
"Story","HU_041 - Listar proveedores (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Jhonnier Hernandez","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_041"
"Story","HU_042 - Buscar proveedor (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Santiago Sanchez Jalvin","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_042"
"Story","HU_043 - Ver detalle proveedor (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Juan Manuel Rendon","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_043"
"Story","HU_044 - Actualizar proveedor (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Pedro Alejandro Correa","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_044"
"Story","HU_045 - Cambiar estado proveedor (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Jhonnier Hernandez","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_045"
"Story","HU_046 - Eliminar proveedor (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Proveedores","Santiago Sanchez Jalvin","Medium","","compras,proveedores,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_046"
"Story","HU_047 - Registrar compra (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Juan Manuel Rendon","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_047"
"Story","HU_048 - Listar compras (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Pedro Alejandro Correa","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_048"
"Story","HU_049 - Buscar compra (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Jhonnier Hernandez","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_049"
"Story","HU_050 - Ver detalle compra (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Santiago Sanchez Jalvin","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_050"
"Story","HU_051 - Ver PDF compra (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Juan Manuel Rendon","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_051"
"Story","HU_052 - Anular compra (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Pedro Alejandro Correa","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_052"
"Story","HU_053 - Agregar producto compra (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Jhonnier Hernandez","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_053"
"Story","HU_054 - Eliminar producto compra (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Santiago Sanchez Jalvin","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_054"
"Story","HU_055 - Registrar compra (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Juan Manuel Rendon","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_055"
"Story","HU_056 - Listar compras (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Pedro Alejandro Correa","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_056"
"Story","HU_057 - Buscar compra (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Jhonnier Hernandez","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_057"
"Story","HU_058 - Ver detalle compra (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Santiago Sanchez Jalvin","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_058"
"Story","HU_059 - Ver PDF compra (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Juan Manuel Rendon","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_059"
"Story","HU_060 - Anular compra (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Pedro Alejandro Correa","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_060"
"Story","HU_061 - Agregar producto compra (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Jhonnier Hernandez","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_061"
"Story","HU_062 - Eliminar producto compra (admin)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Compras","Santiago Sanchez Jalvin","Medium","","compras,proceso-compras,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_062"
"Story","HU_063 - Registrar producto (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Productos","Juan Manuel Rendon","Medium","","compras,productos,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_063"
"Story","HU_064 - Listar productos (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Productos","Pedro Alejandro Correa","Medium","","compras,productos,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_064"
"Story","HU_065 - Buscar producto (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Productos","Jhonnier Hernandez","Medium","","compras,productos,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_065"
"Story","HU_066 - Ver detalle producto (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Productos","Santiago Sanchez Jalvin","Medium","","compras,productos,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_066"
"Story","HU_067 - Actualizar producto (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Productos","Juan Manuel Rendon","Medium","","compras,productos,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_067"
"Story","HU_068 - Cambiar estado producto (asesor)","Historia importada para Scrum. Revisar detalle funcional y criterios en matriz original de historias (fuente del equipo).","","Compras - Gestion de Productos","Pedro Alejandro Correa","Medium","","compras,productos,scrum,hu","Realizada","Realizada","Validar criterios de aceptacion de la HU en refinamiento y anexar pruebas funcionales.","HU_068"
